review,rating,date,bank,source
make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play
maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
why didn t work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play
the app makes our life easier. thank you cbe!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
this app very bad,1,2025-11-27,Commercial Bank of Ethiopia,Google Play
the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play
it is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play
best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
"it suddenly asked me to enter the verification key i received. and it get your verification key from the nearest cbe branch now i m in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play
nice app...,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
why we can t send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play
15 birr 11.50,1,2025-11-23,Commercial Bank of Ethiopia,Google Play
,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
mid application it s so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play
i used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play
no word can explane about this app it is nice,5,2025-11-20,Commercial Bank of Ethiopia,Google Play
"it s great app,i love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
i love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Commercial Bank of Ethiopia,Google Play
make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
securr,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
my most optional bank,5,2025-11-17,Commercial Bank of Ethiopia,Google Play
5 star,5,2025-11-17,Commercial Bank of Ethiopia,Google Play
it is fantastic app.,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
i like this,4,2025-11-16,Commercial Bank of Ethiopia,Google Play
ok,3,2025-11-16,Commercial Bank of Ethiopia,Google Play
app update cache cleaning app login restricted ..,5,2025-11-15,Commercial Bank of Ethiopia,Google Play
"seriously, what s going on with this app? the pay to beneficiary option is completely disabled for android users, yet ios users get full access without restrictions. why are android users being treated like second class customers? it s the same app, the same service, but clearly not the same experience. this kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you re limiting functionality. right now, it just feels unfair and frustrating.",1,2025-11-15,Commercial Bank of Ethiopia,Google Play
like,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
nice and very useful app i like it!,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
smart app,4,2025-11-12,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-12,Commercial Bank of Ethiopia,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Commercial Bank of Ethiopia,Google Play
ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play
awesome,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
