review,rating,date,bank,source,sentiment_label,sentiment_score,keywords,identified_theme
thank you,5,2025-12-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998352527618408,you,Feature / Others
very good app,5,2025-12-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998675584793091,very good app,Feature / Others
excellent,1,2025-12-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,,Feature / Others
good,5,2025-11-30,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
cbe,5,2025-11-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9966009855270386,cbe,Feature / Others
it s special for me,5,2025-11-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997844099998474,"it, me",Feature / Others
make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9920620918273926,it,Feature / Others
maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9875526428222656,,Feature / Others
good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9984679818153381,"this application, transfer, money, finance",Transaction Performance
why didn t work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9990956783294678,didn t,Feature / Others
the app makes our life easier. thank you cbe!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996963739395142,"the app, our life, you",Feature / Others
this app very bad,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9998000264167786,this app,Feature / Others
the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9565094709396362,,Feature / Others
good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999854564666748,good application,Feature / Others
it is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998478889465332,"it, nice app",Feature / Others
best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,,Feature / Others
good app,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
"it suddenly asked me to enter the verification key i received. and it get your verification key from the nearest cbe branch now i m in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9992542862892151,"it, me, the verification key, i, it, your verification key, i, australia, what, you, me, i, my bank account",Account Access Issues
thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9971639513969421,"this app, me",Feature / Others
good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
why we can t send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9985054731369019,"we, t, money, other people, telebirr",Feature / Others
15 birr 11.50,1,2025-11-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9637507796287537,15 birr,Feature / Others
wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,,Feature / Others
good,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9818922877311707,"you, the reason, i, ye chogara himem",Feature / Others
it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998483657836914,"it, so smart app, i, it, everyone",Feature / Others
excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,,Feature / Others
good,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998525381088257,,Feature / Others
good app,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
mid application it s so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997604489326477,it,Feature / Others
i used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9802079796791077,"i, morethan",Feature / Others
no word can explane about this app it is nice,5,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6031466126441956,"no word, this app, it",Feature / Others
"it s great app,i love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998699426651001,"it, great app, i, this app",Feature / Others
nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9737536311149597,suckkkks,Feature / Others
not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991471767425537,,Feature / Others
i love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998642206192017,"i, you",Feature / Others
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9993645548820496,"thanks, your dedication, a bank, good options, your cuatomers",Feature / Others
make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999527096748352,life,Feature / Others
securr,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.989194393157959,securr,Feature / Others
my most optional bank,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.7555266618728638,,Feature / Others
5 star,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9964116215705872,5 star,Feature / Others
it is fantastic app.,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998733997344971,"it, fantastic app",Feature / Others
excellent,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,,Feature / Others
sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8473550081253052,sifen,Feature / Others
i like this,4,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998672008514404,"i, this",Feature / Others
ok,3,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,,Feature / Others
app update cache cleaning app login restricted ..,5,2025-11-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.999337375164032,,Feature / Others
"seriously, what s going on with this app? the pay to beneficiary option is completely disabled for android users, yet ios users get full access without restrictions. why are android users being treated like second class customers? it s the same app, the same service, but clearly not the same experience. this kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you re limiting functionality. right now, it just feels unfair and frustrating.",1,2025-11-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996739625930786,"what, this app, the pay, beneficiary option, android users, ios users, full access, restrictions, android users, second class customers, it, the same app, the same service, this kind, platform bias, everyone, the same features, you, functionality, it",Customer Support
like,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9910564422607422,,Feature / Others
nice and very useful app i like it!,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998588562011719,"i, it",Feature / Others
good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
smart app,4,2025-11-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999789297580719,smart app,Feature / Others
good app,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.992516815662384,"sync problem, may, pls",Feature / Others
ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,,Feature / Others
cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9987378716468811,"cbe, my choice",Feature / Others
awesome,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998682737350464,,Feature / Others
i am not able to transfer. the app is not responding,1,2025-11-11,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.999775230884552,"i, the app",Feature / Others
very convenient app,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9945734143257141,very convenient app,Feature / Others
excellent but sometimes can not connect,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9832204580307007,,Feature / Others
good app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
wow apk,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9992477893829346,,Feature / Others
best 100,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997943043708801,,Feature / Others
bad app,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997212290763855,bad app,Feature / Others
best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,best app,Feature / Others
wow,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,,Feature / Others
nice app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998061060905457,nice app,Feature / Others
bad app,4,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997212290763855,bad app,Feature / Others
the app constantly glitches and won t stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.7895854711532593,"the app, t, a decent connection, a cleared cache, telebirr",Feature / Others
i can t access it properly i think it needs update,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9995952248573303,"i, access, it, i, it, update",Feature / Others
best,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,,Feature / Others
good,4,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
not refresh,2,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9990518689155579,,Feature / Others
your statement is not used as wanted,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.99908447265625,your statement,Feature / Others
good very good,5,2025-11-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998477697372437,,Feature / Others
this is absolute trash why because it s not woking most time the servers are down even though i m using 4g data internet they steal not working they use to work with out even data package now it s trash can t even send money,1,2025-11-09,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996209144592285,"this, absolute trash, it, the servers, i, 4g data internet, they, they, even data package, it, trash, t, money",Feature / Others
good app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
bayeee galatooma kana caalati nu gammachisa,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9713430404663086,bayeee,Feature / Others
good !,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998268485069275,,Feature / Others
i like it,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998593330383301,"i, it",Feature / Others
very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998562335968018,very nice app,Feature / Others
the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996664524078369,the app,Feature / Others
good,5,2025-11-07,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999656081199646,very updated bank,Feature / Others
tankyu,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8404368162155151,tankyu,Feature / Others
nice,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
numbers 2 and 3 don t write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9878899455070496,"numbers, pin verification",Feature / Others
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn t been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9986394047737122,"it, you, a nearby bank, you, they, you, which, hasn t, you, you, them, you, there service provider, authentication pin, the system",Feature / Others
loved it,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998797178268433,it,Feature / Others
ok,1,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,,Feature / Others
this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996734857559204,"this app, my phone",Feature / Others
cbe needs to show transaction fees before the transaction is confirmed and not after. this is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.964024543762207,"cbe, transaction fees, the transaction, this, a big issue, fees",Transaction Performance
"after the recent updates, i am unable to download a receipt. i can t see the names of account holders i ve previously transacted with. very important. please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.998103141784668,"the recent updates, i, a receipt, i, t, the names, account holders, i, it",Account Access Issues
nice,5,2025-11-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
wow,4,2025-11-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,,Feature / Others
