review,rating,date,bank,source,sentiment_label,sentiment_score,keywords,identified_theme
Make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9920620918273926,it,Feature / Others
maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9875526428222656,,Feature / Others
good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9984679818153381,"this application, transfer, money, finance",Transaction Performance
why didn't work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991324543952942,this app,Feature / Others
The app makes our life easier. Thank you CBE!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996963739395142,"the app, our life, you",Feature / Others
this app very bad 👎,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997968077659607,"this app, very bad 👎",Feature / Others
the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9565094709396362,,Feature / Others
Good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999854564666748,good application,Feature / Others
It is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998478889465332,"it, nice app",Feature / Others
best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,,Feature / Others
good app,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9993435740470886,"it, me, the verification key, i, it, your verification key, i, australia, what, you, me, i, my bank account",Account Access Issues
nice app...,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997116923332214,nice app,Feature / Others
very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998499155044556,fast service,Feature / Others
thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9971639513969421,"this app, me",Feature / Others
good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
why we can't send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9984826445579529,"we, money, other people, telebirr",Feature / Others
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9856644868850708,ግን,Feature / Others
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8832131028175354,,Feature / Others
wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,,Feature / Others
good,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9818922877311707,"you, the reason, i, ye chogara himem",Feature / Others
it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998483657836914,"it, so smart app, i, it, everyone",Feature / Others
excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,,Feature / Others
good,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
ዳጊ,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970565915107727,,Feature / Others
absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998525381088257,,Feature / Others
good app,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
mid application it's so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997883439064026,it,Feature / Others
I used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9802079796791077,"i, morethan",Feature / Others
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9920698404312134,"no word, this app, it",Feature / Others
"It's great app,I love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998750686645508,"it, great app, i, this app",Feature / Others
Nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9737536311149597,suckkkks,Feature / Others
not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991471767425537,,Feature / Others
I love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998642206192017,"i, you",Feature / Others
